,KCNTOMS,QPROREL,UAVLEGM,UAVLEGS,KLAMPO95,KLAMPO147,KLAMPO148,KLAMPO149,ZVCT,ZINST63,KBCDO17,KBCDO18,KBCDO19,KBCDO20,KBCDO21,KBCDO22,KLAMPO224,KLAMPO22,KLAMPO150,KLAMPO244,KLAMPO241,KLAMPO242,KLAMPO243,KLAMPO181,KLAMPO182,KLAMPO183,CAXOFF,R,S,UP_D,UP_O,DOWN_D,DOWN_O,Act,time
10,66,0.01999698206782341,292.1042785644531,291.70001220703125,1,1,1,1,74.44596862792969,34.506103515625,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6269201636314392,0.03979357128906145,10,293.11460000000005,295.11460000000005,291.11460000000005,289.11460000000005,0,50
11,72,0.019996924325823784,292.0950012207031,291.70001220703125,0,0,0,0,74.44783782958984,34.480743408203125,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6269158720970154,0.03931882441406174,10,293.12906000000004,295.12906000000004,291.12906000000004,289.12906000000004,2,55
12,78,0.019960489124059677,292.08721923828125,291.70001220703125,0,0,0,0,74.47064971923828,34.44758224487305,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6280396580696106,0.03787398476562453,11,293.14352,295.14352,291.14352,289.14352,2,60
13,84,0.019837677478790283,292.0752868652344,291.70001220703125,0,0,0,0,74.52256774902344,34.39377975463867,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6292400360107422,0.03734613730468732,12,293.15798,295.15798,291.15798,289.15798,0,65
14,90,0.019688431173563004,292.0565490722656,291.70001220703125,0,0,0,0,74.60572814941406,34.31058883666992,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6294237971305847,0.03768218144531147,13,293.17244000000005,295.17244000000005,291.17244000000005,289.17244000000005,0,70
15,96,0.019578851759433746,292.0348205566406,291.70001220703125,0,0,0,0,74.7208251953125,34.2014274597168,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6295392513275146,0.03695841113281176,14,293.18690000000004,295.18690000000004,291.18690000000004,289.18690000000004,0,75
16,101,0.01950952596962452,292.0162048339844,291.70001220703125,0,0,0,0,74.84105682373047,34.095401763916016,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.62961345911026,0.036345096679687,15,293.19895,295.19895,291.19895,289.19895,0,80
17,108,0.019434785470366478,291.99017333984375,291.70001220703125,0,0,0,0,75.04447174072266,33.9254035949707,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6297022104263306,0.03548706679687484,16,293.21582,295.21582,291.21582,289.21582,1,85
18,113,0.01941530779004097,291.9736022949219,291.70001220703125,0,0,0,0,75.20596313476562,33.79212951660156,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6290417313575745,0.033914645898436444,17,293.22787000000005,295.22787000000005,291.22787000000005,289.22787000000005,1,90
19,119,0.01947079971432686,291.991943359375,291.70001220703125,0,0,0,0,75.40692138671875,33.690338134765625,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6278509497642517,0.03399226718749924,18,293.24233000000004,295.24233000000004,291.24233000000004,289.24233000000004,0,95
20,125,0.019575176760554314,292.0375061035156,291.70001220703125,0,0,0,0,75.60990905761719,33.64884567260742,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.627318263053894,0.03561432207031203,19,293.25679,295.25679,291.25679,289.25679,1,100
21,131,0.019667115062475204,292.08343505859375,291.70001220703125,0,0,0,0,75.81160736083984,33.60828399658203,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6260560750961304,0.035243701171874815,20,293.27125,295.27125,291.27125,289.27125,0,105
22,137,0.01975022256374359,292.1175231933594,291.70001220703125,0,0,0,0,76.01029968261719,33.547218322753906,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6258997917175293,0.03663626386718647,21,293.28571000000005,295.28571000000005,291.28571000000005,289.28571000000005,0,110
23,143,0.01980145275592804,292.1371154785156,291.70001220703125,0,0,0,0,76.20509338378906,33.45893478393555,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6258057355880737,0.03673890957031176,22,293.30017000000004,295.30017000000004,291.30017000000004,289.30017000000004,2,115
24,149,0.019768964499235153,292.1466979980469,291.70001220703125,0,0,0,0,76.39557647705078,33.35226058959961,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6268937587738037,0.03564135996093705,23,293.31463,295.31463,291.31463,289.31463,0,120
25,155,0.019683023914694786,292.1470031738281,291.70001220703125,0,0,0,0,76.5815658569336,33.229862213134766,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6269602179527283,0.03635826347656234,24,293.32909,295.32909,291.32909,289.32909,2,125
26,160,0.019605666399002075,292.14105224609375,291.70001220703125,0,0,0,0,76.73309326171875,33.115264892578125,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.627754807472229,0.03499824492187395,25,293.34114000000005,295.34114000000005,291.34114000000005,289.34114000000005,2,130
27,166,0.01945859007537365,292.1250915527344,291.70001220703125,0,0,0,0,76.9107894897461,32.961448669433594,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6289952993392944,0.03438983105468674,26,293.35560000000004,295.35560000000004,291.35560000000004,289.35560000000004,0,135
28,173,0.01924797147512436,292.1001892089844,291.70001220703125,0,0,0,0,77.11245727539062,32.76936721801758,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6294963955879211,0.03455438417968708,27,293.37247,295.37247,291.37247,289.37247,1,140
29,179,0.019152266904711723,292.0809631347656,291.70001220703125,0,0,0,0,77.28058624267578,32.60447692871094,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6285519003868103,0.03288066269531237,28,293.38693,295.38693,291.38693,289.38693,0,145
30,185,0.01910807378590107,292.0677490234375,291.70001220703125,0,0,0,0,77.4444580078125,32.450111389160156,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6285302042961121,0.033327180468749024,29,293.40139000000005,295.40139000000005,291.40139000000005,289.40139000000005,0,150
31,191,0.01906805858016014,292.0556945800781,291.70001220703125,0,0,0,0,77.60419464111328,32.29975509643555,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6285411715507507,0.03279689160156181,30,293.41585000000003,295.41585000000003,291.41585000000003,289.41585000000003,0,155
32,197,0.019029729068279266,292.04071044921875,291.70001220703125,0,0,0,0,77.75988006591797,32.14487838745117,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6285650134086609,0.0322080089843746,31,293.43031,295.43031,291.43031,289.43031,0,160
33,202,0.018999241292476654,292.02484130859375,291.70001220703125,0,0,0,0,77.88661193847656,32.00925064086914,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6285883784294128,0.03164962617187484,32,293.44236,295.44236,291.44236,289.44236,1,165
34,209,0.019040536135435104,292.00067138671875,291.70001220703125,0,0,0,0,78.0595474243164,31.812976837158203,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6274410486221313,0.029828827734374043,33,293.45923000000005,295.45923000000005,291.45923000000005,289.45923000000005,1,170
35,215,0.019153539091348648,291.98193359375,291.70001220703125,0,0,0,0,78.2037124633789,31.646621704101562,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6261352896690369,0.029164871874999335,34,293.47369000000003,295.47369000000003,291.47369000000003,289.47369000000003,0,175
36,221,0.01931384578347206,291.9658203125,291.70001220703125,0,0,0,0,78.34423065185547,31.482383728027344,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6255843639373779,0.029553406249999626,35,293.48815,295.48815,291.48815,289.48815,2,180
37,227,0.019394440576434135,291.9798278808594,291.70001220703125,0,0,0,0,78.48120880126953,31.363523483276367,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.626640796661377,0.028544357617187415,36,293.50261,295.50261,291.50261,289.50261,2,185
38,233,0.01934913732111454,292.0202331542969,291.70001220703125,0,0,0,0,78.61479187011719,31.312557220458984,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6277778148651123,0.02906326308593657,37,293.51707000000005,295.51707000000005,291.51707000000005,289.51707000000005,0,190
39,239,0.019243977963924408,292.06207275390625,291.70001220703125,0,0,0,0,78.7450942993164,31.26496696472168,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6278815269470215,0.03061085507812436,38,293.53153000000003,295.53153000000003,291.53153000000003,289.53153000000003,1,195
40,239,0.019243977963924408,292.06207275390625,291.70001220703125,0,0,0,0,78.7450942993164,31.26496696472168,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6278815269470215,0.02961085507812436,39,293.53153000000003,295.53153000000003,291.53153000000003,289.53153000000003,1,200
41,251,0.01923931948840618,292.1127014160156,291.70001220703125,0,0,0,0,78.9962158203125,31.108078002929688,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6255113482475281,0.030045028320312438,40,293.56045,295.56045,291.56045,289.56045,1,205
42,251,0.01923931948840618,292.1127014160156,291.70001220703125,0,0,0,0,78.9962158203125,31.108078002929688,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6255113482475281,0.030045028320312438,41,293.56045,295.56045,291.56045,289.56045,0,210
43,251,0.01923931948840618,292.1127014160156,291.70001220703125,0,0,0,0,78.9962158203125,31.108078002929688,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6255113482475281,0.03104502832031244,42,293.56045,295.56045,291.56045,289.56045,1,215
44,257,0.019355637952685356,292.121826171875,291.70001220703125,0,0,0,0,79.11713409423828,30.99578094482422,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6245558857917786,0.029938323437499092,43,293.57491000000005,295.57491000000005,291.57491000000005,289.57491000000005,0,220
45,263,0.019483238458633423,292.1253967285156,291.70001220703125,0,0,0,0,79.23505401611328,30.87301254272461,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6239340901374817,0.030720534570311885,44,293.58937000000003,295.58937000000003,291.58937000000003,289.58937000000003,1,225
46,269,0.01964537240564823,292.1237487792969,291.70001220703125,0,0,0,0,79.35002899169922,30.740917205810547,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.622607946395874,0.029398375585937175,45,293.60383,295.60383,291.60383,289.60383,0,230
47,275,0.019833790138363838,292.1175842285156,291.70001220703125,0,0,0,0,79.46214294433594,30.598752975463867,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6223777532577515,0.029985884570312465,46,293.61829,295.61829,291.61829,289.61829,0,235
48,281,0.019983097910881042,292.108154296875,291.70001220703125,0,0,0,0,79.57145690917969,30.450138092041016,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6222211122512817,0.029508085937499116,47,293.63275000000004,295.63275000000004,291.63275000000004,289.63275000000004,0,240
49,287,0.020106647163629532,292.0984191894531,291.70001220703125,0,0,0,0,79.67802429199219,30.300966262817383,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6220928430557251,0.029024183789061908,48,293.64721000000003,295.64721000000003,291.64721000000003,289.64721000000003,0,245
50,293,0.020213628187775612,292.0931091308594,291.70001220703125,0,0,0,0,79.78192138671875,30.159252166748047,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6219791173934937,0.0286287826171872,49,293.66167,295.66167,291.66167,289.66167,0,250
51,299,0.020309414714574814,292.0912780761719,291.70001220703125,0,0,0,0,79.88321685791016,30.02544403076172,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6218780875205994,0.02830296152343749,50,293.67613,295.67613,291.67613,289.67613,0,255
52,305,0.02039787732064724,292.0887756347656,291.70001220703125,0,0,0,0,79.98197937011719,29.89081382751465,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.62179034948349,0.027963712695311643,51,293.69059000000004,295.69059000000004,291.69059000000004,289.69059000000004,1,260
53,310,0.020495250821113586,292.0840148925781,291.70001220703125,0,0,0,0,80.0624008178711,29.773855209350586,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6209103465080261,0.026627497851561883,52,293.70264000000003,295.70264000000003,291.70264000000003,289.70264000000003,0,265
54,317,0.02066967450082302,292.0747985839844,291.70001220703125,0,0,0,0,80.17219543457031,29.602659225463867,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.620285153388977,0.027105771679687224,53,293.71951,295.71951,291.71951,289.71951,0,270
55,323,0.02080223709344864,292.0659484863281,291.70001220703125,0,0,0,0,80.26375579833984,29.454681396484375,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6201521158218384,0.026639569726562513,54,293.73397,295.73397,291.73397,289.73397,0,275
56,329,0.020924046635627747,292.0570373535156,291.70001220703125,0,0,0,0,80.35303497314453,29.307111740112305,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6200447082519531,0.026172147070311666,55,293.74843000000004,295.74843000000004,291.74843000000004,289.74843000000004,2,280
57,335,0.02096591144800186,292.04644775390625,291.70001220703125,0,0,0,0,80.44010162353516,29.15777015686035,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6211180686950684,0.024671155078124455,56,293.76289,295.76289,291.76289,289.76289,2,285
58,341,0.020915493369102478,292.0317077636719,291.70001220703125,0,0,0,0,80.52498626708984,29.00216293334961,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6224185228347778,0.024087155273437248,57,293.77735,295.77735,291.77735,289.77735,1,290
59,347,0.020939787849783897,292.0167541503906,291.70001220703125,0,0,0,0,80.60774230957031,28.843732833862305,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6213650107383728,0.0234988830078114,58,293.79181000000005,295.79181000000005,291.79181000000005,289.79181000000005,1,295
60,353,0.02108985371887684,292.01947021484375,291.70001220703125,0,0,0,0,80.68843078613281,28.699081420898438,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6200451254844666,0.02326400429687419,59,293.80627000000004,295.80627000000004,291.80627000000004,289.80627000000004,0,300
61,359,0.021253487095236778,292.0687255859375,291.70001220703125,0,0,0,0,80.76714324951172,28.655485153198242,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6198344826698303,0.02495991171874948,60,293.82073,295.82073,291.82073,289.82073,1,305
62,365,0.021441878750920296,292.1302185058594,291.70001220703125,0,0,0,0,80.84395599365234,28.63970184326172,0,0,20,0,0,0,0,0,1,0,1,0,0,1,0,0,-0.6181851625442505,0.02490057011718727,61,293.83519,295.83519,291.83519,289.83519,0,310
