40.824,27.088,1
43.274,20.597,1
43.753,23.675,1
46.189,22.996,1
47.644,25.05,1
48.615,26.078,1
49.604,19.926,1
51.551,19.93,1
52.993,27.454,1
55.449,18.57,1
55.916,26.434,1
56.422,18.572,1
56.889,26.778,1
57.386,22.676,1
59.333,22.68,1
60.298,26.101,1
64.68,25.767,1
67.13,19.276,1
68.092,19.272,1
68.103,19.278,1
71.491,27.49,1
76.357,27.838,1
76.371,27.893,1
76.844,28.184,1
80.761,18.619,1
83.169,29.564,1
84.146,27.857,1
85.131,23.414,1
88.031,31.967,1
90.009,18.979,1
91.927,25.9,1
91.94,25.821,1
95.853,18.307,1
96.789,33.693,1
99.731,24.81,1
101.695,17.976,1
102.137,32.737,1
102.146,32.678,1
103.118,23.435,1
103.144,22.424,1
104.612,19.35,1
107.003,37.132,1
108.994,19.016,1
110.89,39.875,1
113.827,33.385,1
114.814,27.917,1
115.263,43.302,1
117.205,45.357,1
117.27,18.691,1
121.65,19.041,1
122.586,34.769,1
124.009,49.815,1
125.016,25.945,1
125.041,25.885,1
127.481,23.497,1
127.491,23.427,1
129.84,54.271,1
130.795,61.794,1
131.36,30,1
131.823,39.574,1
132.756,56.328,1
133.709,64.877,1
134.208,59.749,1
135.28,19.068,1
136.128,71.035,1
137.598,66.935,1
139.032,77.537,1
139.057,78.25,1
140.147,19.761,1
140.995,71.045,1
141.07,63.436,1
141.476,73.439,1
142.424,84.039,1
142.508,49.509,1
143.47,54.297,1
143.519,53.898,1
144.043,18.743,1
144.969,38.574,1
145.33,80.271,1
145.355,79.942,1
146.32,83.363,1
146.43,24.331,1
146.457,26.953,1
146.898,45.757,1
148.404,27.298,1
148.812,59.436,1
149.223,90.548,1
149.283,65.933,1
149.846,34.823,1
150.34,31.747,1
151.646,95.339,1
151.823,22.519,1
153.584,99.103,1
155.037,101.841,1
155.113,97.597,1
155.674,40.304,1
156.483,107.656,1
156.696,20.135,1
158.002,83.727,1
158.089,85.586,1
158.513,73.814,1
159.475,78.602,1
160.021,54.33,1
160.353,117.92,1
160.836,119.289,1
162.285,124.078,1
162.862,87.156,1
163.488,29.721,1
165.95,18.444,1
166.813,63.574,1
167.228,93.318,1
167.337,36.364,1
167.356,40.669,1
167.683,106.31,1
168.108,131.61,1
168.864,21.185,1
170.294,33.495,1
170.529,136.743,1
171.563,112.13,1
172.246,31.448,1
174.889,145.641,1
175.057,76.581,1
176.162,22.566,1
176.497,51.949,1
176.645,23.935,1
177.31,145.118,1
177.365,128.21,1
178.594,23.255,1
179.721,160.351,1
180.187,168.899,1
180.35,101.891,1
180.807,45.695,1
181.002,33.858,1
183.388,53.692,1
183.799,84.804,1
